experiment_id,attack,severity,params,image,psnr_attacked,ssim_attacked,blind_ber,blind_bit_accuracy,nonblind_ber,nonblind_bit_accuracy
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0889,31.6616,0.97302,0.15625,0.84375,0.046875,0.953125
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0890,37.1425,0.971863,0.234375,0.765625,0.109375,0.890625
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0891,31.3675,0.956275,0.234375,0.765625,0.03125,0.96875
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0892,33.921,0.982002,0.234375,0.765625,0.0625,0.9375
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0893,36.2932,0.963691,0.203125,0.796875,0.046875,0.953125
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0894,36.7604,0.973913,0.203125,0.796875,0.140625,0.859375
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0895,34.8575,0.971902,0.28125,0.71875,0.125,0.875
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0896,42.4556,0.983369,0.28125,0.71875,0.078125,0.921875
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0897,29.0598,0.966548,0.1875,0.8125,0.0625,0.9375
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0898,34.762,0.968907,0.34375,0.65625,0.046875,0.953125
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0899,33.1984,0.948457,0.3125,0.6875,0.15625,0.84375
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0900,32.4925,0.920365,0.265625,0.734375,0.046875,0.953125
robustness-20260918-025634-2cf93d,jpeg_compress,90.0,"{""quality"": 90}",0801,35.3478,0.977899,0.21875,0.78125,0.078125,0.921875
robustness-20260918-025634-2cf93d,jpeg_compress,90.0,"{""quality"": 90}",0802,32.439,0.920389,0.34375,0.65625,0.265625,0.734375
robustness-20260918-025634-2cf93d,jpeg_compress,90.0,"{""quality"": 90}",0803,32.5416,0.941061,0.28125,0.71875,0.0625,0.9375
robustness-20260918-025634-2cf93d,jpeg_compress,90.0,"{""quality"": 90}",0804,30.1753,0.94872,0.28125,0.71875,0.03125,0.96875
robustness-20260918-025634-2cf93d,jpeg_compress,90.0,"{""quality"": 90}",0805,36.0856,0.971974,0.265625,0.734375,0.109375,0.890625
robustness-20260918-025634-2cf93d,jpeg_compress,90.0,"{""quality"": 90}",0806,35.1576,0.957557,0.234375,0.765625,0.015625,0.984375
robustness-20260918-025634-2cf93d,jpeg_compress,90.0,"{""quality"": 90}",0807,30.6873,0.916875,0.328125,0.671875,0.0625,0.9375
robustness-20260918-025634-2cf93d,jpeg_compress,90.0,"{""quality"": 90}",0808,34.8097,0.958146,0.28125,0.71875,0.109375,0.890625
robustness-20260918-025634-2cf93d,jpeg_compress,90.0,"{""quality"": 90}",0809,34.7947,0.960137,0.28125,0.71875,0.078125,0.921875
robustness-20260918-025634-2cf93d,jpeg_compress,90.0,"{""quality"": 90}",0810,37.1262,0.972482,0.28125,0.71875,0.078125,0.921875
robustness-20260918-025634-2cf93d,jpeg_compress,90.0,"{""quality"": 90}",0811,34.1607,0.933692,0.328125,0.671875,0.171875,0.828125
robustness-20260918-025634-2cf93d,jpeg_compress,90.0,"{""quality"": 90}",0812,36.7441,0.97589,0.3125,0.6875,0.140625,0.859375
