experiment_id,alpha,bits,subband_order,image,psnr,ssim,mse,nonblind_ber,nonblind_bit_accuracy,blind_ber,blind_bit_accuracy,blind_exact,t_embed_ms,t_nonblind_ms,t_blind_ms,model_version
matrix-20260918-025538-98a873,0.005,8,LL,0873,49.1779,0.998935,0.785762,0.0,1.0,0.25,0.75,0,2.23,3.26,2.57,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0874,47.2124,0.998639,1.235494,0.0,1.0,0.375,0.625,0,2.13,3.3,2.55,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0875,49.8459,0.999475,0.673742,0.0,1.0,0.625,0.375,0,2.16,3.26,2.57,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0876,52.2507,0.998987,0.387268,0.0,1.0,0.5,0.5,0,2.18,3.41,2.53,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0877,53.6185,0.998503,0.282639,0.125,0.875,0.75,0.25,0,2.2,3.3,2.57,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0878,47.4607,0.999269,1.166829,0.0,1.0,0.625,0.375,0,2.18,3.27,2.56,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0879,49.2951,0.997225,0.764847,0.0,1.0,0.625,0.375,0,2.15,3.26,2.53,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0880,48.3134,0.9981,0.958832,0.0,1.0,0.375,0.625,0,2.15,3.27,2.52,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0881,47.3057,0.998273,1.209234,0.0,1.0,0.375,0.625,0,2.19,3.23,2.5,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0882,48.8081,0.998512,0.855596,0.0,1.0,0.625,0.375,0,2.14,3.34,2.54,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0883,48.1053,0.998951,1.0059,0.0,1.0,0.875,0.125,0,2.19,3.25,2.53,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0884,48.913,0.999243,0.835175,0.0,1.0,0.375,0.625,0,2.16,3.35,2.55,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0885,49.8223,0.998404,0.677409,0.0,1.0,0.5,0.5,0,2.23,3.25,2.52,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0886,49.0022,0.997427,0.818207,0.0,1.0,0.375,0.625,0,2.12,3.27,2.53,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0887,48.1718,0.997789,0.990611,0.0,1.0,0.5,0.5,0,2.24,3.27,2.56,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0888,48.3132,0.999177,0.958878,0.0,1.0,0.375,0.625,0,2.14,3.37,2.55,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0889,48.318,0.999544,0.957804,0.0,1.0,0.625,0.375,0,2.16,3.26,2.54,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0890,47.7302,0.99828,1.096619,0.0,1.0,0.75,0.25,0,2.12,3.29,2.54,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0891,47.7832,0.999094,1.083338,0.0,1.0,0.5,0.5,0,2.24,3.28,2.52,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
